case_id,case_type,court,court_hierarchy,state,sector,filing_date,disposal_date,duration_months,claim_amount_lakhs,claimant_lawyer_win_rate,respondent_is_govt,respondent_is_psu,num_prior_adjournments,has_interim_order,represented_by_senior_counsel,favourable_outcome,disposal_category,realisation_pct
SYNTH-00000,Civil Suit,Commercial Court,2,Delhi,Banking & Finance,2016-03-03,2018-08-20,30,44.37,0.38,1,0,34,1,0,0,Settlement / Compromise,
SYNTH-00001,Partition,High Court (Appeal),3,Telangana,Real Estate,2021-05-02,2026-02-05,58,536.22,0.58,0,0,34,0,0,1,Decree in favour of plaintiff,
SYNTH-00002,Consumer Dispute,High Court (Original),3,Gujarat,Healthcare,2019-06-25,2022-02-09,32,38.43,0.44,0,0,21,1,0,0,Withdrawn,
SYNTH-00003,Labour / Employment,NCLT,2,Punjab,Healthcare,2010-12-22,2016-05-24,66,172.63,0.65,0,0,24,1,0,0,Dismissed for default,
SYNTH-00004,Consumer Dispute,High Court (Appeal),3,West Bengal,IT / Technology,2011-07-24,2014-04-09,33,123.2,0.28,0,0,5,0,0,0,Dismissed for default,
SYNTH-00005,Appeal (HC),Consumer Forum (District),1,Tamil Nadu,Infrastructure,2018-03-08,2019-06-01,15,27.15,0.34,0,0,4,0,1,0,Dismissed for default,
SYNTH-00006,Commercial Dispute,Consumer Forum (District),1,Tamil Nadu,Real Estate,2016-01-21,2017-11-11,22,3.1,0.79,0,0,20,0,0,1,Decree in favour of plaintiff,
SYNTH-00007,Commercial Dispute,NCLAT,3,Rajasthan,Infrastructure,2016-01-03,2016-07-31,7,23.49,0.29,0,0,20,1,0,0,Settlement / Compromise,
SYNTH-00008,Injunction,NCLT,2,Tamil Nadu,Infrastructure,2015-07-14,2017-01-04,18,87.48,0.66,0,0,27,0,0,0,Withdrawn,
SYNTH-00009,CIRP (IBC),Consumer Forum (State),2,Maharashtra,Retail,2012-01-15,2013-06-08,17,6.56,0.67,0,0,10,0,0,1,Decree in favour of plaintiff,49.21
SYNTH-00010,Writ (HC),Supreme Court,4,Uttar Pradesh,IT / Technology,2020-07-01,2024-03-12,45,64.48,0.54,0,0,0,0,1,1,Settlement / Compromise,
SYNTH-00011,Money Recovery,NCLAT,3,Uttar Pradesh,Banking & Finance,2016-08-01,2017-05-28,10,95.92,0.49,0,0,16,0,0,1,Decree in favour of plaintiff,66.2
SYNTH-00012,IP Infringement,NCLT,2,Delhi,Others,2021-05-21,2023-10-08,29,11.17,0.58,0,0,34,0,0,0,Settlement / Compromise,
SYNTH-00013,CIRP (IBC),NCLAT,3,Punjab,Banking & Finance,2010-06-09,2012-08-27,27,8.75,0.31,0,0,19,1,0,1,Decree in favour of plaintiff,56.33
SYNTH-00014,Consumer Dispute,Commercial Court,2,Uttar Pradesh,Infrastructure,2020-11-25,2023-09-11,34,70.6,0.7,0,0,8,1,0,1,Decree in favour of plaintiff,
SYNTH-00015,Liquidation (IBC),NCLT,2,Gujarat,Telecom,2019-06-29,2021-10-16,28,34.76,0.78,0,0,12,0,0,1,Decree in favour of plaintiff,21.53
SYNTH-00016,CIRP (IBC),Consumer Forum (State),2,Maharashtra,Real Estate,2012-09-18,2015-06-05,33,3.88,0.39,1,1,35,1,0,0,Dismissed on merits,0.45
SYNTH-00017,Money Recovery,High Court (Appeal),3,Punjab,Others,2010-09-15,2016-01-17,65,15.51,0.72,1,0,31,1,1,1,Decree in favour of plaintiff,88.2
SYNTH-00018,Partition,Consumer Forum (District),1,Delhi,Banking & Finance,2020-08-10,2023-05-27,34,10.39,0.69,0,1,27,0,0,1,Decree in favour of plaintiff,
SYNTH-00019,Commercial Dispute,District Court,1,Telangana,Telecom,2017-08-11,2019-09-30,26,184.71,0.69,1,0,34,0,0,0,Settlement / Compromise,
SYNTH-00020,IP Infringement,High Court (Appeal),3,Delhi,Banking & Finance,2011-09-10,2018-06-05,82,49.01,0.49,0,0,3,0,0,1,Decree in favour of plaintiff,
SYNTH-00021,Injunction,High Court (Appeal),3,West Bengal,IT / Technology,2019-02-12,2024-10-13,69,93.92,0.52,0,0,3,1,1,1,Decree in favour of plaintiff,
SYNTH-00022,Specific Performance,Consumer Forum (District),1,Delhi,Others,2019-06-28,2020-08-21,14,93.89,0.63,0,0,31,1,0,1,Decree in favour of plaintiff,
SYNTH-00023,Civil Suit,Consumer Forum (State),2,Maharashtra,Infrastructure,2017-01-13,2021-12-18,60,51.74,0.28,0,0,33,1,0,0,Dismissed on merits,
SYNTH-00024,Writ (HC),Commercial Court,2,Punjab,Banking & Finance,2011-07-11,2015-10-18,52,1.07,0.62,0,0,36,1,0,0,Dismissed for default,
SYNTH-00025,Appeal (HC),Supreme Court,4,Telangana,Telecom,2021-09-22,2029-02-12,90,62.21,0.42,0,0,20,1,0,0,Dismissed on merits,
SYNTH-00026,Labour / Employment,NCLAT,3,Telangana,Infrastructure,2011-08-18,2012-11-10,15,62.65,0.26,0,0,6,1,0,0,Transferred,
SYNTH-00027,Money Recovery,NCLAT,3,Uttar Pradesh,Real Estate,2015-06-25,2015-12-22,6,39.27,0.45,0,0,19,0,0,1,Settlement / Compromise,83.72
